Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2017 [YR2017],2016 [YR2016],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Afghanistan,AFG,..,..,1280.46317065778,1292.33343722938,1260.06058051982,1352.3206265475,1366.99314578093,1528.34457777944,1556.84445154502,1823.74261448512,2026.16381797997,1961.09631655741,2122.83075870676,2165.3409147556,2144.44963352064,2108.71417281187,2096.09311055337,2101.42218654808,2060.69897292797,2079.92186098824,1968.34100152117
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Albania,ALB,5892.57045311397,6441.42786683557,6753.86773668616,7153.98114870525,7580.11301472565,8040.06536122962,8568.53266515493,9150.09859358523,9912.12872526348,10313.8811659785,10749.4450134566,11052.7559176482,11227.9280414412,11361.2298602638,11586.7943649919,11878.4139402813,12770.9664236798,12291.8175748981,13317.0927360367,13653.1550103049,13278.3433182533
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Algeria,DZA,8786.19034999369,8926.11013383805,9299.68213365682,9835.16170946118,10114.7255553923,10566.3728388815,10592.2471115583,10775.5321067078,10847.1766343021,10824.5763614132,11007.7466060999,11113.9688922379,11270.701045131,11360.6376117058,11561.259795238,11751.6341191101,11809.4830333846,11888.322966871,11725.8777414874,11627.2799176185,10844.7707638851
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Angola,AGO,4728.37436813592,4768.00889397813,5241.82058742633,5217.39051918638,5589.23793596591,6204.58875156972,6677.01973976917,7340.38890931744,7866.1843443608,7646.14435760809,7689.82073536757,7663.28605266516,8011.05009506366,8099.67882846483,8183.1645766116,7966.88555561333,7216.06137267002,7487.92509764052,6878.59002526807,6602.26921128365,6029.69189495339
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Antigua and Barbuda,ATG,20674.8162626598,19434.1634383108,19384.5842042481,20330.7326376568,21267.3168789666,22381.0243942087,24905.3038034984,26853.2107305346,26451.0587713159,22933.3673771156,20848.9135243651,20196.8676922583,20266.7283863741,20175.8195454841,20451.2189691873,20584.147863768,21672.0448949248,21280.6436868977,23050.6849829255,23638.6852364576,19062.4125766856
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Argentina,ARG,18524.8096075258,17514.5041008813,15439.7446333669,16631.5739769268,17950.1512818383,19338.1461909357,20679.243097676,22316.2555259104,22992.390179143,21413.2831164661,23521.2701750961,24647.6292739541,24118.8675158912,24424.1364465071,23550.0990599374,23933.8866120953,23597.117752839,23189.5274451329,22747.2416575831,22071.7480998394,19694.5605233461
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Armenia,ARM,3921.85752187599,4346.90750559669,4965.22435904764,5698.77847656251,6334.85615310927,7259.20389235415,8273.78569972956,9476.47149359946,10201.5594510386,8819.67745940627,9068.78765139006,9551.15813085673,10289.9756312671,10677.3036548195,11105.5324996261,11506.0389896756,12509.6396064818,11580.3836431751,13231.4310690444,14317.5528692827,13357.6970638572
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Aruba,ABW,39001.7270747746,39920.4040124401,39073.5557379146,39115.3823702548,41591.9203519237,41019.0420700003,40994.2489026891,41745.1159360396,41986.9803325229,36629.3278512996,35227.2073401191,36073.6394301224,35410.1159159894,37406.1735215139,36558.972837232,36099.9426361964,38868.3339230867,36504.6887306899,39597.6598760426,38511.3368756791,29236.0472636614
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Australia,AUS,38412.6424452041,38690.5698814133,39775.2705165483,40535.6697466697,41798.7180224627,42595.4288564671,43182.3853613612,44001.4292882263,44675.1403940644,44592.1459771989,44881.3260742963,45328.2597058221,46289.1852995649,46685.097350806,47193.1716301214,47543.0801361158,48418.558421681,48107.0674601139,49085.9333718305,49420.9404224359,48651.7349653922
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Austria,AUT,46469.8610601036,46878.9162398602,47419.2784117541,47633.1140009916,48633.2718157639,49387.0278641202,50840.6944621561,52565.0739687956,53166.0542015286,51030.7246778186,51843.4283275453,53179.1474647432,53297.4447850919,52997.7538166712,52932.9001116518,52873.8586545571,54172.9867888254,53345.7415259818,55217.2865300768,55769.6841038798,51854.7493457907
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Azerbaijan,AZE,3998.52048313078,4360.45944142426,4736.56437632615,5180.68645770222,5610.76313748494,7106.59790726031,9453.94185980601,11684.1915431474,12672.3762154835,13565.8550922117,14082.2381481679,13913.8366943419,14027.468790254,14651.693970776,14867.9437345406,14852.6117080302,14121.4069355591,14232.1926180142,14209.5931685619,14442.0408668016,13726.7696576885
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,"Bahamas, The",BHS,36972.0410679884,37412.0476339909,37920.6063872967,36944.5171631828,36770.9064884765,37504.264217218,37918.2472565634,37928.6234252671,36523.5410175063,34498.1634486663,34539.5823712746,34321.2409125565,34999.8273975448,33681.5580088966,33996.8262833236,34023.7194329397,34067.8461834433,33484.5333364444,34810.2775023066,34324.996665818,26132.2075199469
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Bahrain,BHR,46154.0295372007,46084.9272072473,46478.2054226708,47504.5573094864,47455.239988126,46821.0246254023,46303.4870146222,46792.1742553463,46588.6421016907,44972.7455841236,45600.0662441489,46564.7108841565,47793.5309713178,48915.5299366185,49117.9884481019,48453.7258486635,48929.4470119951,48486.3027470537,48937.6603623739,49768.9762142136,47994.4142924226
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Bangladesh,BGD,2267.07534263548,2337.36457838974,2382.28146619565,2451.99022708859,2537.95070871986,2663.09625116971,2806.59268460145,2973.2813184428,3124.22679044642,3253.0913296157,3395.36478001701,3571.05863939925,3756.93192442051,3932.7083218214,4119.42463056385,4337.38589269384,4830.77629051855,4589.09352178014,5124.49874345916,5467.20750902916,5591.3737660456
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Barbados,BRB,15505.8715219668,15098.0115024327,15155.3303251063,15424.5963566145,15583.7230790595,16141.6969800434,17057.5402404036,17346.8298843531,17383.7413342958,16438.683969536,16011.3643290824,15846.8682573297,15757.7485929024,15515.4974131252,15480.2090685691,15822.0995903355,16233.7921528506,16190.2363008037,16063.4537281839,16077.5147552255,14003.9220283777
